Price,Close,High,Low,Open,Volume
Ticker,USDBRL=X,USDBRL=X,USDBRL=X,USDBRL=X,USDBRL=X
Date,,,,,
2020-01-01,4.060400009155273,4.09060001373291,4.000820159912109,4.016786098480225,0
2020-01-08,4.1458001136779785,4.15749979019165,4.037520885467529,4.066199779510498,0
2020-01-15,4.188499927520752,4.2052001953125,4.110199928283691,4.13129997253418,0
2020-01-22,4.206099987030029,4.229700088500977,4.14739990234375,4.210899829864502,0
2020-01-29,4.246799945831299,4.284200191497803,4.181700229644775,4.193299770355225,0
2020-02-05,4.320974826812744,4.3354997634887695,4.2072248458862305,4.253900051116943,0
2020-02-12,4.326499938964844,4.380099773406982,4.294353008270264,4.327530860900879,0
2020-02-19,4.386600017547607,4.403200149536133,4.329676151275635,4.354899883270264,0
2020-02-26,4.472400188446045,4.51230001449585,4.35047721862793,4.3867998123168945,0
2020-03-04,4.722899913787842,4.788899898529053,4.501889228820801,4.513199806213379,0
2020-03-11,4.999000072479248,5.0777997970581055,4.615200042724609,4.642499923706055,0
2020-03-18,5.14169979095459,5.2104997634887695,4.976099967956543,5.009900093078613,0
2020-03-25,5.192699909210205,5.203999996185303,4.973899841308594,5.098599910736084,0
2020-04-01,5.285299777984619,5.35129976272583,5.185842037200928,5.20389986038208,0
2020-04-08,5.198500156402588,5.244699954986572,5.050000190734863,5.22160005569458,0
2020-04-15,5.315400123596191,5.317299842834473,5.1597089767456055,5.160036087036133,0
2020-04-22,5.652599811553955,5.713500022888184,5.303800106048584,5.315499782562256,0
2020-04-29,5.540599822998047,5.599100112915039,5.3310651779174805,5.496600151062012,0
2020-05-06,5.8171000480651855,5.870999813079834,5.575520038604736,5.578199863433838,0
2020-05-13,5.718999862670898,5.966484069824219,5.683304786682129,5.885000228881836,0
2020-05-20,5.443399906158447,5.757400035858154,5.3454999923706055,5.754899978637695,0
2020-05-27,5.366499900817871,5.457499980926514,5.211940765380859,5.344699859619141,0
