Price,Close,High,Low,Open,Volume
Ticker,USDBRL=X,USDBRL=X,USDBRL=X,USDBRL=X,USDBRL=X
Date,,,,,
2021-01-01,5.312900066375732,5.4055681228637695,5.116399765014648,5.1921000480651855,0
2021-01-08,5.297500133514404,5.51200008392334,5.211100101470947,5.408699989318848,0
2021-01-15,5.290500164031982,5.396900177001953,5.193142890930176,5.195799827575684,0
2021-01-22,5.412600040435791,5.484000205993652,5.341590881347656,5.349400043487549,0
2021-01-29,5.3520002365112305,5.503699779510498,5.321300029754639,5.437483787536621,0
2021-02-05,5.384900093078613,5.453100204467773,5.307300090789795,5.425600051879883,0
2021-02-12,5.409800052642822,5.448299884796143,5.35699987411499,5.3653998374938965,0
2021-02-19,5.402964115142822,5.528031826019287,5.364963054656982,5.42549991607666,0
2021-02-26,5.617499828338623,5.769100189208984,5.489999771118164,5.527746200561523,0
2021-03-05,5.67110013961792,5.877500057220459,5.540999889373779,5.668600082397461,0
2021-03-12,5.583099842071533,5.6774001121521,5.476099967956543,5.5346999168396,0
2021-03-19,5.61959981918335,5.677499771118164,5.46019983291626,5.558700084686279,0
2021-03-26,5.63129997253418,5.802800178527832,5.608099937438965,5.648799896240234,0
2021-04-02,5.612100124359131,5.710899829864502,5.547399997711182,5.707399845123291,0
2021-04-09,5.652900218963623,5.753300189971924,5.543353080749512,5.566800117492676,0
2021-04-16,5.56790018081665,5.674799919128418,5.480160236358643,5.61300802230835,0
2021-04-23,5.341400146484375,5.519700050354004,5.338385105133057,5.443299770355225,0
2021-04-30,5.352700233459473,5.478099822998047,5.2571001052856445,5.336400032043457,0
2021-05-07,5.303100109100342,5.319200038909912,5.198400020599365,5.273467063903809,0
2021-05-14,5.308000087738037,5.31790018081665,5.229190826416016,5.307400226593018,0
2021-05-21,5.310500144958496,5.366300106048584,5.258450031280518,5.281400203704834,0
2021-05-28,5.07450008392334,5.258425235748291,5.0665998458862305,5.238100051879883,0
